date,month,day,year,day_of_water_year,leap_year_index,period,normalized_30_d_trailing_sum_UKLNI,weight_for_30_d_trailing_sum_UKLNI,normalized_30_trailing_sum_precipitation,weight_for_30_d_trailing_sum_precip,normalized_trailing_sum_31_1095_d_precip_in,weight_for_tot_31_1095_d_trailing_sum_precip,normalized_average_swe,weight_for_normalized_weighted_avg_swe,three_mta_normalized_PDO_lag_0,three_mta_normalized_PDO_CN34_lag_0,climate_index_used,climate_index_lag_0,weight_for_climate_index,wetness_index_v20,normalized_wetness_index_v20,trailing_2_week_mean_nwi_v20,ukl_net_inflow_smoothed
2024-12-01,12,1,2024,62,1,5,0.4060506270874336,0.940050635,0.7423950673709493,0.559706847,0.1960412887970293,0.05992300199999967,0.646333732179981,0.12011675,0,0.0718746650527106,3 mta PDO,0,0.45994381500000003,0.8866146420877333,0.41132774410786704,0.42426081019897993,3.804037691706077
2024-12-02,12,2,2024,63,1,5,0.403871606472545,0.927187056,0.6193735574112373,0.5740044630000001,0.18165237866195713,0.10849187599999999,0.666739638557091,0.12296216100000001,0,0.0718746650527106,3 mta PDO,0,0.455657115,0.8316792661477433,0.35747769422455894,0.42665222125164387,3.5487871018015684
2024-12-03,12,3,2024,64,1,5,0.392857082997519,0.9143234769999999,0.5893444867680145,0.588302079,0.19491294949720173,0.15706074999999986,0.673201089563067,0.125807572,0,0.0718746650527106,3 mta PDO,0,0.451370415,0.8212180094816066,0.3336695179765894,0.4271713218591473,3.357319721915691
2024-12-04,12,4,2024,65,1,5,0.3767465261541251,0.9014598979999999,0.5477328978145116,0.6025996950000001,0.199118955515474,0.20562962399999973,0.633004849834002,0.128652983,0,0.0718746650527106,3 mta PDO,0,0.44708371500000005,0.7920682803417739,0.31026338445462626,0.42325473571870137,3.2263328257090347
2024-12-05,12,5,2024,66,1,5,0.3517373368022753,0.8885963189999999,0.5477573034650982,0.616897311,0.200246266097462,0.25419849800000005,0.615692811915663,0.13149839400000002,0,0.0718746650527106,3 mta PDO,0,0.442797015,0.7823274263619322,0.30137687258192414,0.41445123934865985,3.1246004204419897
2024-12-06,12,6,2024,67,1,5,0.3333085104154315,0.8757327399999999,0.5558098643339262,0.6311949270000001,0.2019255102384548,0.3027673719999999,0.603390306831101,0.134343805,0,0.0718746650527106,3 mta PDO,0,0.43851031500000004,0.7849117476300206,0.3032304631858036,0.3976740120690271,3.041204321211543
2024-12-07,12,7,2024,68,1,5,0.32423256963825786,0.8628691609999999,0.5405433045985052,0.645492543,0.20624706832322967,0.3513362459999998,0.570129110538276,0.137189216,0,0.0718746650527106,3 mta PDO,0,0.434223615,0.7793645940462627,0.2985580358704601,0.3836349546028167,2.829564295485042
2024-12-08,12,8,2024,69,1,5,0.31369733068782546,0.850005582,0.5433038800790393,0.6597901589999999,0.20723866336518396,0.39990511999999967,0.568273474673221,0.140034627,0,0.0718746650527106,3 mta PDO,0,0.42993691500000003,0.7875648021673697,0.3010014282198623,0.37214884685473065,2.7861500938387715
2024-12-09,12,9,2024,70,1,5,0.3055817145577004,0.837142003,0.5766002419394076,0.6740877750000001,0.19992906857214823,0.448473994,0.550825284652977,0.14288003800000001,0,0.0718746650527106,3 mta PDO,0,0.425650215,0.812859388260234,0.3059410771287799,0.36243496815580795,2.7405295086761123
2024-12-10,12,10,2024,71,1,5,0.2952555338503892,0.824278424,0.54626708634977,0.6883853910000002,0.1970855894151305,0.49704286799999986,0.548158199926944,0.145725449,0,0.0718746650527106,3 mta PDO,0,0.421363515,0.7972556343585473,0.30549055334563274,0.3535259803940159,2.703754861735063
