ukl_ft_navd88,ukl_ft_usbrkb,tot_cap_taf,act_cap_taf,inund_area_ac
4141.44,4139.43,504.067,236.763,"76,123"
4141.45,4139.44,504.828,237.524,"76,202"
4141.46,4139.45,505.591,238.287,"76,282"
4141.47,4139.46,506.354,239.050,"76,363"
4141.48,4139.47,507.118,239.814,"76,443"
4141.49,4139.48,507.883,240.579,"76,525"
4141.50,4139.49,508.648,241.345,"76,607"
4141.51,4139.50,509.415,242.111,"76,689"
4141.52,4139.51,510.182,242.878,"76,772"
4141.53,4139.52,510.950,243.647,"76,856"
4141.54,4139.53,511.719,244.416,"76,939"
4141.55,4139.54,512.489,245.185,"77,024"
4141.56,4139.55,513.260,245.956,"77,109"
4141.57,4139.56,514.031,246.728,"77,194"
4141.58,4139.57,514.804,247.500,"77,280"
4141.59,4139.58,515.577,248.273,"77,366"
4141.60,4139.59,516.351,249.047,"77,453"
4141.61,4139.60,517.126,249.822,"77,540"
4141.62,4139.61,517.902,250.598,"77,628"
4141.63,4139.62,518.678,251.375,"77,716"
4141.64,4139.63,519.456,252.152,"77,804"
4141.65,4139.64,520.235,252.931,"77,893"
4141.66,4139.65,521.014,253.710,"77,982"
4141.67,4139.66,521.794,254.490,"78,072"
4141.68,4139.67,522.575,255.272,"78,162"
4141.69,4139.68,523.357,256.054,"78,253"
4141.70,4139.69,524.140,256.837,"78,344"
4141.71,4139.70,524.924,257.621,"78,435"
4141.72,4139.71,525.709,258.405,"78,527"
4141.73,4139.72,526.495,259.191,"78,619"
4141.74,4139.73,527.282,259.978,"78,712"
4141.75,4139.74,528.069,260.765,"78,805"
4141.76,4139.75,528.858,261.554,"78,898"
4141.77,4139.76,529.647,262.343,"78,992"
4141.78,4139.77,530.437,263.134,"79,086"
4141.79,4139.78,531.229,263.925,"79,180"
4141.80,4139.79,532.021,264.717,"79,275"
4141.81,4139.80,532.814,265.511,"79,370"
4141.82,4139.81,533.608,266.305,"79,466"
4141.83,4139.82,534.404,267.100,"79,562"
4141.84,4139.83,535.200,267.896,"79,658"
4141.85,4139.84,535.997,268.693,"79,755"
4141.86,4139.85,536.795,269.491,"79,852"
4141.87,4139.86,537.594,270.290,"79,949"
4141.88,4139.87,538.394,271.090,"80,047"
4141.89,4139.88,539.195,271.891,"80,145"
4141.90,4139.89,539.997,272.693,"80,243"
4141.91,4139.90,540.800,273.496,"80,342"
4141.92,4139.91,541.604,274.300,"80,441"
4141.93,4139.92,542.408,275.105,"80,540"
4141.94,4139.93,543.214,275.911,"80,640"
4141.95,4139.94,544.021,276.717,"80,740"
4141.96,4139.95,544.829,277.525,"80,840"
4141.97,4139.96,545.638,278.334,"80,941"
4141.98,4139.97,546.448,279.144,"81,042"
4141.99,4139.98,547.259,279.955,"81,143"
4142.00,4139.99,548.071,280.767,"81,245"
4142.01,4140.00,548.884,281.580,"81,416"
4142.02,4140.01,549.699,282.395,"81,540"
4142.03,4140.02,550.515,283.211,"81,652"
4142.04,4140.03,551.332,284.028,"81,755"
4142.05,4140.04,552.150,284.846,"81,853"
4142.06,4140.05,552.969,285.665,"81,948"
4142.07,4140.06,553.789,286.485,"82,039"
4142.08,4140.07,554.610,287.306,"82,127"
4142.09,4140.08,555.432,288.128,"82,213"
4142.10,4140.09,556.254,288.950,"82,297"
4142.11,4140.10,557.077,289.774,"82,379"
4142.12,4140.11,557.902,290.598,"82,460"
4142.13,4140.12,558.727,291.423,"82,539"
4142.14,4140.13,559.552,292.249,"82,617"
4142.15,4140.14,560.379,293.075,"82,694"
4142.16,4140.15,561.206,293.903,"82,770"
4142.17,4140.16,562.034,294.731,"82,844"
4142.18,4140.17,562.863,295.559,"82,918"
4142.19,4140.18,563.693,296.389,"82,991"
4142.20,4140.19,564.523,297.219,"83,063"
4142.21,4140.20,565.354,298.050,"83,135"
4142.22,4140.21,566.186,298.882,"83,205"
4142.23,4140.22,567.018,299.714,"83,275"
4142.24,4140.23,567.851,300.547,"83,345"
4142.25,4140.24,568.685,301.381,"83,414"
4142.26,4140.25,569.519,302.216,"83,482"
4142.27,4140.26,570.355,303.051,"83,550"
4142.28,4140.27,571.190,303.887,"83,617"
4142.29,4140.28,572.027,304.723,"83,683"
4142.30,4140.29,572.864,305.560,"83,749"
4142.31,4140.30,573.702,306.398,"83,815"
4142.32,4140.31,574.540,307.237,"83,880"
4142.33,4140.32,575.380,308.076,"83,945"
4142.34,4140.33,576.219,308.916,"84,010"
4142.35,4140.34,577.060,309.756,"84,074"
4142.36,4140.35,577.901,310.597,"84,137"
4142.37,4140.36,578.743,311.439,"84,201"
4142.38,4140.37,579.585,312.281,"84,263"
4142.39,4140.38,580.428,313.124,"84,326"
4142.40,4140.39,581.271,313.968,"84,388"
4142.41,4140.40,582.116,314.812,"84,450"
4142.42,4140.41,582.960,315.657,"84,512"
4142.43,4140.42,583.806,316.502,"84,573"
4142.44,4140.43,584.652,317.348,"84,634"
4142.45,4140.44,585.498,318.195,"84,695"
4142.46,4140.45,586.346,319.042,"84,755"
4142.47,4140.46,587.194,319.890,"84,815"
4142.48,4140.47,588.042,320.738,"84,875"
4142.49,4140.48,588.891,321.587,"84,935"
4142.50,4140.49,589.741,322.437,"84,994"
4142.51,4140.50,590.591,323.287,"85,053"
4142.52,4140.51,591.442,324.138,"85,112"
4142.53,4140.52,592.293,324.989,"85,170"
4142.54,4140.53,593.145,325.841,"85,229"
4142.55,4140.54,593.998,326.694,"85,287"
4142.56,4140.55,594.851,327.547,"85,345"
4142.57,4140.56,595.705,328.401,"85,403"
4142.58,4140.57,596.559,329.255,"85,460"
4142.59,4140.58,597.414,330.110,"85,517"
4142.60,4140.59,598.269,330.966,"85,575"
4142.61,4140.60,599.125,331.822,"85,631"
4142.62,4140.61,599.982,332.678,"85,688"
4142.63,4140.62,600.839,333.535,"85,745"
4142.64,4140.63,601.697,334.393,"85,801"
4142.65,4140.64,602.555,335.251,"85,857"
4142.66,4140.65,603.414,336.110,"85,913"
4142.67,4140.66,604.273,336.970,"85,969"
4142.68,4140.67,605.133,337.830,"86,024"
4142.69,4140.68,605.994,338.690,"86,080"
4142.70,4140.69,606.855,339.551,"86,135"
4142.71,4140.70,607.717,340.413,"86,190"
4142.72,4140.71,608.579,341.275,"86,245"
4142.73,4140.72,609.441,342.138,"86,300"
4142.74,4140.73,610.305,343.001,"86,354"
4142.75,4140.74,611.169,343.865,"86,409"
4142.76,4140.75,612.033,344.729,"86,463"
4142.77,4140.76,612.898,345.594,"86,517"
4142.78,4140.77,613.763,346.460,"86,571"
4142.79,4140.78,614.629,347.325,"86,625"
4142.80,4140.79,615.496,348.192,"86,679"
4142.81,4140.80,616.363,349.059,"86,732"
4142.82,4140.81,617.230,349.927,"86,786"
4142.83,4140.82,618.099,350.795,"86,839"
4142.84,4140.83,618.967,351.663,"86,892"
4142.85,4140.84,619.836,352.533,"86,945"
4142.86,4140.85,620.706,353.402,"86,998"
4142.87,4140.86,621.576,354.273,"87,051"
4142.88,4140.87,622.447,355.143,"87,104"
4142.89,4140.88,623.318,356.015,"87,156"
4142.90,4140.89,624.190,356.886,"87,208"
4142.91,4140.90,625.063,357.759,"87,261"
4142.92,4140.91,625.935,358.632,"87,313"
4142.93,4140.92,626.809,359.505,"87,365"
4142.94,4140.93,627.683,360.379,"87,417"
4142.95,4140.94,628.557,361.253,"87,469"
4142.96,4140.95,629.432,362.128,"87,520"
4142.97,4140.96,630.308,363.004,"87,572"
4142.98,4140.97,631.184,363.880,"87,623"
4142.99,4140.98,632.060,364.756,"87,675"
4143.00,4140.99,632.937,365.633,"87,726"
4143.01,4141.00,633.815,366.512,"87,887"
4143.02,4141.01,634.695,367.391,"87,964"
4143.03,4141.02,635.575,368.271,"88,026"
4143.04,4141.03,636.455,369.151,"88,079"
4143.05,4141.04,637.336,370.032,"88,127"
4143.06,4141.05,638.218,370.914,"88,170"
4143.07,4141.06,639.099,371.796,"88,211"
4143.08,4141.07,639.982,372.678,"88,249"
4143.09,4141.08,640.864,373.561,"88,285"
4143.10,4141.09,641.747,374.444,"88,319"
4143.11,4141.10,642.631,375.327,"88,352"
4143.12,4141.11,643.515,376.211,"88,383"
4143.13,4141.12,644.399,377.095,"88,414"
4143.14,4141.13,645.283,377.979,"88,443"
4143.15,4141.14,646.167,378.864,"88,472"
4143.16,4141.15,647.052,379.748,"88,500"
4143.17,4141.16,647.937,380.634,"88,527"
4143.18,4141.17,648.823,381.519,"88,553"
4143.19,4141.18,649.708,382.405,"88,579"
4143.20,4141.19,650.594,383.291,"88,604"
4143.21,4141.20,651.480,384.177,"88,629"
4143.22,4141.21,652.367,385.063,"88,653"
4143.23,4141.22,653.254,385.950,"88,676"
4143.24,4141.23,654.140,386.837,"88,699"
4143.25,4141.24,655.028,387.724,"88,722"
4143.26,4141.25,655.915,388.611,"88,745"
