date,name,ppt,tmean,tmax
2020-10-15,WIL84,0,NA,NA
2020-10-15,WIL106,0,NA,NA
2020-10-15,WIL128,0,NA,NA
2020-10-15,WIL150,0,NA,NA
2020-10-15,WIL172,0,NA,NA
2020-10-15,WIL194,0,NA,NA
2020-10-15,WIL216,0,NA,NA
2020-10-15,SPR16,0,NA,NA
2020-10-15,SPR42,0,NA,NA
2020-10-15,SPR66,0,NA,NA
2020-10-15,SPR91,0,NA,NA
2020-10-15,SPR113,0,NA,NA
2020-10-15,SPR145,0,NA,NA
2020-10-15,SPR160,0,NA,NA
2020-10-15,SPR185,0,NA,NA
2020-10-15,SPR216,0,NA,NA
2020-10-15,SPR245,0,NA,NA
2020-10-16,UKL8,0,NA,NA
2020-10-16,UKL19,0,NA,NA
2020-10-16,UKL30,0,NA,NA
2020-10-16,UKL41,0,NA,NA
2020-10-16,UKL52,0,NA,NA
2020-10-16,UKL63,0,NA,NA
2020-10-16,UKL76,0,NA,NA
2020-10-16,UKL85,0,NA,NA
2020-10-16,UKL96,0,NA,NA
2020-10-16,UKL107,0,NA,NA
2020-10-16,WIL18,0,NA,NA
2020-10-16,WIL40,0,NA,NA
2020-10-16,WIL62,0,NA,NA
2020-10-16,WIL84,0,NA,NA
2020-10-16,WIL106,0,NA,NA
2020-10-16,WIL128,0,NA,NA
2020-10-16,WIL150,0,NA,NA
2020-10-16,WIL172,0,NA,NA
2020-10-16,WIL194,0,NA,NA
2020-10-16,WIL216,0,NA,NA
2020-10-16,SPR16,0,NA,NA
2020-10-16,SPR42,0,NA,NA
2020-10-16,SPR66,0,NA,NA
2020-10-16,SPR91,0,NA,NA
2020-10-16,SPR113,0,NA,NA
2020-10-16,SPR145,0,NA,NA
2020-10-16,SPR160,0,NA,NA
2020-10-16,SPR185,0,NA,NA
2020-10-16,SPR216,0,NA,NA
2020-10-16,SPR245,0,NA,NA
2020-10-17,UKL8,0.04629921256087897,NA,NA
2020-10-17,UKL19,0.32114171606349196,NA,NA
2020-10-17,UKL30,0,NA,NA
2020-10-17,UKL41,0.00929133863899651,NA,NA
2020-10-17,UKL52,0,NA,NA
2020-10-17,UKL63,0,NA,NA
2020-10-17,UKL76,0,NA,NA
2020-10-17,UKL85,0,NA,NA
2020-10-17,UKL96,0,NA,NA
2020-10-17,UKL107,0,NA,NA
2020-10-17,WIL18,0,NA,NA
2020-10-17,WIL40,0,NA,NA
2020-10-17,WIL62,0,NA,NA
2020-10-17,WIL84,0,NA,NA
2020-10-17,WIL106,0,NA,NA
2020-10-17,WIL128,0,NA,NA
2020-10-17,WIL150,0,NA,NA
2020-10-17,WIL172,0,NA,NA
2020-10-17,WIL194,0,NA,NA
2020-10-17,WIL216,0,NA,NA
2020-10-17,SPR16,0,NA,NA
2020-10-17,SPR42,0,NA,NA
2020-10-17,SPR66,0,NA,NA
2020-10-17,SPR91,0,NA,NA
2020-10-17,SPR113,0,NA,NA
2020-10-17,SPR145,0,NA,NA
2020-10-17,SPR160,0,NA,NA
2020-10-17,SPR185,0,NA,NA
2020-10-17,SPR216,0,NA,NA
2020-10-17,SPR245,0,NA,NA
2020-10-18,UKL8,0,NA,NA
2020-10-18,UKL19,0,NA,NA
2020-10-18,UKL30,0,NA,NA
2020-10-18,UKL41,0,NA,NA
2020-10-18,UKL52,0,NA,NA
2020-10-18,UKL63,0,NA,NA
2020-10-18,UKL76,0,NA,NA
2020-10-18,UKL85,0,NA,NA
2020-10-18,UKL96,0,NA,NA
2020-10-18,UKL107,0,NA,NA
2020-10-18,WIL18,0,NA,NA
2020-10-18,WIL40,0,NA,NA
2020-10-18,WIL62,0,NA,NA
2020-10-18,WIL84,0,NA,NA
2020-10-18,WIL106,0,NA,NA
2020-10-18,WIL128,0,NA,NA
2020-10-18,WIL150,0,NA,NA
2020-10-18,WIL172,0,NA,NA
2020-10-18,WIL194,0,NA,NA
2020-10-18,WIL216,0,NA,NA
2020-10-18,SPR16,0,NA,NA
2020-10-18,SPR42,0,NA,NA
2020-10-18,SPR66,0,NA,NA
2020-10-18,SPR91,0,NA,NA
2020-10-18,SPR113,0,NA,NA
2020-10-18,SPR145,0,NA,NA
2020-10-18,SPR160,0,NA,NA
2020-10-18,SPR185,0,NA,NA
2020-10-18,SPR216,0,NA,NA
2020-10-18,SPR245,0,NA,NA
2020-10-19,UKL8,0,NA,NA
2020-10-19,UKL19,0,NA,NA
2020-10-19,UKL30,0,NA,NA
2020-10-19,UKL41,0,NA,NA
2020-10-19,UKL52,0,NA,NA
2020-10-19,UKL63,0,NA,NA
2020-10-19,UKL76,0,NA,NA
2020-10-19,UKL85,0,NA,NA
2020-10-19,UKL96,0,NA,NA
2020-10-19,UKL107,0,NA,NA
2020-10-19,WIL18,0,NA,NA
2020-10-19,WIL40,0,NA,NA
2020-10-19,WIL62,0,NA,NA
2020-10-19,WIL84,0,NA,NA
2020-10-19,WIL106,0,NA,NA
2020-10-19,WIL128,0,NA,NA
2020-10-19,WIL150,0,NA,NA
2020-10-19,WIL172,0,NA,NA
2020-10-19,WIL194,0,NA,NA
2020-10-19,WIL216,0,NA,NA
2020-10-19,SPR16,0,NA,NA
2020-10-19,SPR42,0,NA,NA
2020-10-19,SPR66,0,NA,NA
2020-10-19,SPR91,0,NA,NA
2020-10-19,SPR113,0,NA,NA
2020-10-19,SPR145,0,NA,NA
2020-10-19,SPR160,0,NA,NA
2020-10-19,SPR185,0,NA,NA
2020-10-19,SPR216,0,NA,NA
2020-10-19,SPR245,0,NA,NA
2020-10-20,UKL8,0,NA,NA
2020-10-20,UKL19,0,NA,NA
2020-10-20,UKL30,0,NA,NA
2020-10-20,UKL41,0,NA,NA
2020-10-20,UKL52,0,NA,NA
2020-10-20,UKL63,0,NA,NA
2020-10-20,UKL76,0,NA,NA
2020-10-20,UKL85,0,NA,NA
2020-10-20,UKL96,0,NA,NA
2020-10-20,UKL107,0,NA,NA
2020-10-20,WIL18,0,NA,NA
2020-10-20,WIL40,0,NA,NA
2020-10-20,WIL62,0,NA,NA
2020-10-20,WIL84,0,NA,NA
2020-10-20,WIL106,0,NA,NA
2020-10-20,WIL128,0,NA,NA
2020-10-20,WIL150,0,NA,NA
2020-10-20,WIL172,0,NA,NA
2020-10-20,WIL194,0,NA,NA
2020-10-20,WIL216,0,NA,NA
2020-10-20,SPR16,0,NA,NA
2020-10-20,SPR42,0,NA,NA
2020-10-20,SPR66,0,NA,NA
2020-10-20,SPR91,0,NA,NA
2020-10-20,SPR113,0,NA,NA
2020-10-20,SPR145,0,NA,NA
2020-10-20,SPR160,0,NA,NA
2020-10-20,SPR185,0,NA,NA
2020-10-20,SPR216,0,NA,NA
2020-10-20,SPR245,0,NA,NA
2020-10-21,UKL8,0,NA,NA
2020-10-21,UKL19,0,NA,NA
2020-10-21,UKL30,0,NA,NA
2020-10-21,UKL41,0,NA,NA
2020-10-21,UKL52,0,NA,NA
2020-10-21,UKL63,0,NA,NA
2020-10-21,UKL76,0,NA,NA
2020-10-21,UKL85,0,NA,NA
2020-10-21,UKL96,0,NA,NA
2020-10-21,UKL107,0,NA,NA
2020-10-21,WIL18,0,NA,NA
2020-10-21,WIL40,0,NA,NA
2020-10-21,WIL62,0,NA,NA
2020-10-21,WIL84,0,NA,NA
2020-10-21,WIL106,0,NA,NA
2020-10-21,WIL128,0,NA,NA
2020-10-21,WIL150,0,NA,NA
2020-10-21,WIL172,0,NA,NA
2020-10-21,WIL194,0,NA,NA
2020-10-21,WIL216,0,NA,NA
2020-10-21,SPR16,0,NA,NA
2020-10-21,SPR42,0,NA,NA
2020-10-21,SPR66,0,NA,NA
2020-10-21,SPR91,0,NA,NA
2020-10-21,SPR113,0,NA,NA
2020-10-21,SPR145,0,NA,NA
2020-10-21,SPR160,0,NA,NA
2020-10-21,SPR185,0,NA,NA
2020-10-21,SPR216,0,NA,NA
2020-10-21,SPR245,0,NA,NA
2020-10-22,UKL8,0.04818897547684317,NA,NA
2020-10-22,UKL19,0,NA,NA
2020-10-22,UKL30,0,NA,NA
2020-10-22,UKL41,0,NA,NA
2020-10-22,UKL52,0,NA,NA
2020-10-22,UKL63,0.0172440942347519,NA,NA
2020-10-22,UKL76,0.00303149604656564,NA,NA
2020-10-22,UKL85,0.01456692932158943,NA,NA
2020-10-22,UKL96,0,NA,NA
2020-10-22,UKL107,0,NA,NA
2020-10-22,WIL18,0,NA,NA
2020-10-22,WIL40,0,NA,NA
2020-10-22,WIL62,0,NA,NA
2020-10-22,WIL84,0,NA,NA
2020-10-22,WIL106,0,NA,NA
2020-10-22,WIL128,0,NA,NA
2020-10-22,WIL150,0,NA,NA
2020-10-22,WIL172,0,NA,NA
2020-10-22,WIL194,0,NA,NA
2020-10-22,WIL216,0,NA,NA
2020-10-22,SPR16,0,NA,NA
2020-10-22,SPR42,0,NA,NA
2020-10-22,SPR66,0,NA,NA
2020-10-22,SPR91,0,NA,NA
2020-10-22,SPR113,0,NA,NA
2020-10-22,SPR145,0,NA,NA
2020-10-22,SPR160,0,NA,NA
2020-10-22,SPR185,0,NA,NA
